pos|nombre|apellido|sexo|nacimiento|estatura|peso|grupo_rh|direccion|telefono|estado|pais|correo|religion
0.502393566302036|Jaime Alberto|Venegas Quiroz|M|1987-08-20|1.54|58.6|A+|Privada Santillan No. 101|+56(156)-3105119|Biobio|Chile|mbogdashkae412@xmail.com|Catolica
0.897502674488779|Milton|Duarte Villalpando|M|1971-06-22|1.34|63.2|B-|Boulevard Jonathan No. 652|+593(647)-7647638|Galapagos|Ecuador|wmandelb122@randonmail.com|Agnostico
0.296545826453268|Albino|Baca Cedillo|M|1980-08-07|1.5|65.9|B+|Calle Santo del o No. 940|+53(152)-9119174|Camaguey|Cuba|nclaudiod313@unemail.com|Catolica
0.705905420112407|Flora|Valentin Torrez|F|1968-03-24|1.53|70.4|B+|Bulevar Yad No. 714|+505(253)-2243786|Rivas|Nicaragua|eflorab14@unemail.com|Cristiano Ortodoxo
0.704110802013865|Felipe|Lara Abreu|M|1985-03-21|1.71|80.2|A-|Calle Valadez No. 26|+54(940)-0985137|Tucuman|Argentina|nbebg613@randonmail.com|Musulman
0.066047570387395|Rosa|Ortiz Valladares|F|1983-11-12|1.9|59.4|AB-|Cerrada Lara No. 752|+52(045)-8030613|Guanajuato|Mexico|crosag62@xmail.com|Pastafarismo
0.890559425871456|Gracia|Guerrero Garcia|F|1981-02-03|1.64|85.3|O+|Calle Santo del Hermenegildo No. 384|+502(643)-8696697|Peten|Guatemala|cgraciae42@unemail.com|Pentecostes
0.839387287042981|Jose David|Verduzco Rolon|M|1980-02-21|1.6|82.7|B-|Calle Julio No. 587|+595(558)-1521085|Guaira|Paraguay|lbriang611@falsemail.com|Catolica
0.554288119908706|Andrew|Tello Ramirez|M|1988-06-08|1.55|56.8|B+|Avenida Cesar No. 342|+51(353)-6366178|Amazonas|Peru|icurtisi88@xmail.com|Catolica
0.258683514012432|Thalia|Prieto Guerrero|F|1985-09-08|1.6|93.2|AB+|Boulevard Elias Pina No. 229|+591(846)-1800579|Oruro|Bolivia|dtaliae43@unemail.com|Cristiano Ortodoxo
0.642663721184302|Luisa|Barrera Viera|F|1970-10-01|1.81|55.1|A+|Boulevard Zapata No. 941|+505(753)-3740109|Leon|Nicaragua|alorenac20@falsemail.com|Catolica
0.275965653878892|Gonzalo|Arana Navarro|M|1976-04-14|1.72|66.8|O+|Calle Isajar No. 489|+57(052)-1090344|Risaralda|Colombia|ubenjaminc220@unemail.com|Catolica
0.753882942575383|Viviana|Vallejo Orosco|F|1984-06-18|1.55|56.4|O-|Bulevar Tungurahua No. 961|+591(952)-5907973|Tarija|Bolivia|rveronicac217@randonmail.com|Catolica
0.230586183516164|Alberto|Cordova Estevez|M|1981-08-28|1.78|70.6|AB-|Valdivia No. 794|+595(740)-5782012|Caaguazu|Paraguay|smelitonc218@unemail.com|Catolico
0.436417890469531|Flora|Casas Lozano|F|1990-08-24|1.79|81.4|A+|Guarico No. 773|+52(259)-3232749|Puebla|Mexico|lflorab111@randonmail.com|Anglicano
0.143619423530258|Miguel Angel|Solorio Aguayo|M|1977-11-14|1.35|66.6|AB+|Privada Varela No. 738|+58(345)-3312076|Distrito Capital|Venezuela|mpatricioh712@unemail.com|Catolica
0.312283766998413|Juan Francisco|Madrigal Portillo|M|1982-04-05|1.83|67.5|O-|Boulevard San Jose No. 359|+56(259)-4291582|Maule|Chile|pamadeoc215@falsemail.com|Baptista
0.727929262796934|Federico|Zambrano Moya|M|1986-11-21|1.72|68.8|A-|Bolivar No. 515|+505(254)-2282363|Jinotega|Nicaragua|aalizh70@randonmail.com|Catolica
0.628369047279475|Abraham|Villalpando Navarrete|M|1991-02-03|1.64|61|AB-|Real del Aviles No. 935|+56(159)-1117358|Magallanes y de la Antartica Chilena|Chile|bfortunatoc21@falsemail.com|Catolica
0.321962226641313|Wilfredo|Baeza Barragan|M|1987-02-04|1.54|60|A+|Boulevard Magallanes y de la Antartica Chilena No. 717|+56(641)-6655441|Tarapaca|Chile|wprocopiog622@unemail.com|Catolica
0.826257244793018|Tina|Cisneros Ramos|F|1966-09-01|1.59|68.6|AB+|Boulevard Uribe No. 496|+58(144)-9198011|Barinas|Venezuela|vtatianaf521@randonmail.com|Cristiano
0.257430694305345|Irene|Almaraz Laboy|F|1983-03-03|1.38|57.5|AB-|Bulevar Biobio No. 859|+51(756)-7798019|Ica|Peru|uireneg620@falsemail.com|Agnostico
0.996675621681235|Jeffrey|Escobedo Posada|M|1986-02-12|1.35|65.5|B-|Real del Sedillo No. 314|+56(048)-8023582|Region de Los Rios|Chile|pamsuj915@randonmail.com|Luterano
0.983723481895703|Juan Felipe|Mota Hernadez|M|1974-06-28|1.66|46|O-|Boulevard Baleares No. 881|+53(444)-5467170|Mayabeque|Cuba|rosmaroc217@randonmail.com|Mormon
0.105600562339755|Gianina|Sierra Cintron|F|1961-05-01|1.35|71.7|B+|Real del Tumbes No. 649|+57(744)-5709586|Atlantico|Colombia|ugianinai820@xmail.com|Luterano
0.757263442506189|Isaias|Fuentes Nazario|M|1976-07-17|2.12|72.3|A-|Jezabel No. 58|+505(946)-7925072|Nueva Segovia|Nicaragua|cbilalh72@randonmail.com|Agnostico
0.758135382971354|Ulises|Samaniego Solorzano|M|1976-08-15|1.79|72.2|AB-|Avenida Hidalgo No. 783|+53(345)-5331068|Artemisa|Cuba|dppsamtica03@falsemail.com|Cristiano Ortodoxo
0.772287312372904|Gladis|Sandoval Aguilar|F|1973-05-15|1.7|71.2|A+|Real del Gracias a Dios No. 936|+505(759)-9738527|Esteli|Nicaragua|hgladisc27@xmail.com|Luterano
0.010651095801323|Antonella|Lira Velez|F|1982-11-14|1.29|84.7|AB+|Cerrada Chalatenango No. 98|+505(659)-1691753|Esteli|Nicaragua|mantonellae412@xmail.com|Luterano
0.294522522515702|Teresa|Mora Moya|F|1993-02-23|1.53|72.5|AB+|Privada Idrissa No. 165|+53(644)-3686894|Holguin|Cuba|wsusanag622@falsemail.com|Catolica
0.392275122792027|Fidelio|Quesada Estevez|M|1969-05-24|1.89|72.6|AB+|Privada Naeem No. 150|+505(255)-6284696|Chontales|Nicaragua|qsenusnetd316@randonmail.com|Luterano
0.677303083016663|Juan Luis|Villarreal Ramos|M|1979-02-06|1.85|52.5|B+|Avenida Xarles No. 279|+53(647)-1624755|Pinar del Rio|Cuba|qhuenub116@unemail.com|Baptista
0.12564664989535|Adoracion|Toledo Cerda|F|1985-07-18|1.68|84|A+|Cerrada Harcourt No. 791|+58(649)-6670437|Carabobo|Venezuela|dadoraciona03@xmail.com|Adventista
0.606457401231938|Carlos Alberto|Chapa Zapata|M|1983-02-19|1.87|48.7|AB-|Privada PaisVasco No. 9|+53(346)-2359089|Granma|Cuba|uagymahh720@randonmail.com|Catolica
0.533567727453922|Aristobulo|Ayala Ruvalcaba|M|1970-10-10|1.84|75.2|A+|Cerrada Jela No. 596|+53(548)-4587573|Ciego de Avila|Cuba|agauthierd30@unemail.com|Catolica
